Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2000,39,1775,455,45.5,225,1775
10000,39,8922,560,56.0,1078,8922
20000,39,17938,588,58.8,2062,17938
40000,39,35865,611,61.1,4135,35865
60000,39,53846,738,73.8,6154,53846
80000,39,71874,999,99.9,8126,71874
100000,39,89979,661,66.1,10021,89979
2,40,1,1,0.1,1,1
3,40,3,2,0.2,0,3
100,40,89,46,4.6,11,89
200,40,178,84,8.4,22,178
2000,40,1769,261,26.1,231,1769
10000,40,8998,455,45.5,1002,8998
20000,40,17853,548,54.8,2147,17853
40000,40,35886,910,91.0,4114,35886
60000,40,53884,700,70.0,6116,53884
80000,40,71863,991,99.1,8137,71863
100000,40,89853,940,94.0,10147,89853
2,41,2,1,0.1,0,2
3,41,3,2,0.2,0,3
100,41,85,47,4.7,15,85
200,41,167,79,7.9,33,167
2000,41,1762,399,39.9,238,1762
10000,41,8949,499,49.9,1051,8949
20000,41,17916,702,70.2,2084,17916
40000,41,35939,584,58.4,4061,35939
60000,41,54035,829,82.9,5965,54035
80000,41,72027,824,82.4,7973,72027
100000,41,89856,912,91.2,10144,89856
2,42,2,1,0.1,0,2
3,42,3,2,0.2,0,3
100,42,88,48,4.8,12,88
200,42,177,80,8.0,23,177
2000,42,1748,370,37.0,252,1748
10000,42,8931,696,69.6,1069,8931
20000,42,18000,695,69.5,2000,18000
40000,42,35972,884,88.4,4028,35972
60000,42,53831,930,93.0,6169,53831
80000,42,71886,765,76.5,8114,71886
100000,42,89957,1001,100.1,10043,89957
2,43,1,1,0.1,1,1
3,43,3,2,0.2,0,3
100,43,80,48,4.8,20,80
200,43,185,90,9.0,15,185
2000,43,1780,372,37.2,220,1780
10000,43,8963,693,69.3,1037,8963
20000,43,17873,524,52.4,2127,17873
40000,43,35827,923,92.3,4173,35827
60000,43,53827,735,73.5,6173,53827
80000,43,71985,1168,116.8,8015,71985
100000,43,89799,835,83.5,10201,89799
2,44,2,1,0.1,0,2
3,44,2,2,0.2,1,2
100,44,86,46,4.6,14,86
200,44,175,87,8.7,25,175
2000,44,1764,366,36.6,236,1764
10000,44,8961,582,58.2,1039,8961
20000,44,17905,797,79.7,2095,17905
40000,44,35877,675,67.5,4123,35877
60000,44,53893,881,88.1,6107,53893
80000,44,71787,803,80.3,8213,71787
100000,44,89874,1176,117.6,10126,89874
2,45,2,1,0.1,0,2
3,45,3,2,0.2,0,3
100,45,88,43,4.3,12,88
200,45,165,88,8.8,35,165
2000,45,1770,346,34.6,230,1770
10000,45,8919,627,62.7,1081,8919
20000,45,17953,832,83.2,2047,17953
40000,45,35954,862,86.2,4046,35954
60000,45,53949,711,71.1,6051,53949
80000,45,71914,742,74.2,8086,71914
100000,45,89809,894,89.4,10191,89809
2,46,2,1,0.1,0,2
3,46,2,1,0.1,1,2
100,46,85,45,4.5,15,85
200,46,175,93,9.3,25,175
2000,46,1754,406,40.6,246,1754
10000,46,8986,394,39.4,1014,8986
20000,46,17980,580,58.0,2020,17980
40000,46,35861,758,75.8,4139,35861
60000,46,53784,652,65.2,6216,53784
80000,46,71915,715,71.5,8085,71915
100000,46,89918,915,91.5,10082,89918
2,47,1,1,0.1,1,1
3,47,2,1,0.1,1,2
100,47,89,48,4.8,11,89
200,47,175,83,8.3,25,175
2000,47,1756,376,37.6,244,1756
10000,47,8950,553,55.3,1050,8950
20000,47,17983,558,55.8,2017,17983
40000,47,35959,817,81.7,4041,35959
60000,47,53913,899,89.9,6087,53913
80000,47,71937,647,64.7,8063,71937
100000,47,89854,912,91.2,10146,89854
2,48,2,1,0.1,0,2
3,48,2,2,0.2,1,2
100,48,88,45,4.5,12,88
200,48,172,87,8.7,28,172
2000,48,1734,329,32.9,266,1734
10000,48,8971,643,64.3,1029,8971
20000,48,17792,789,78.9,2208,17792
40000,48,35911,771,77.1,4089,35911
60000,48,54013,628,62.8,5987,54013
80000,48,71803,790,79.0,8197,71803
100000,48,89809,728,72.8,10191,89809
2,49,2,1,0.1,0,2
3,49,2,1,0.1,1,2
100,49,87,49,4.9,13,87
200,49,173,89,8.9,27,173
2000,49,1752,361,36.1,248,1752
10000,49,8894,663,66.3,1106,8894
20000,49,17876,601,60.1,2124,17876
40000,49,35920,704,70.4,4080,35920
60000,49,53895,949,94.9,6105,53895
80000,49,71868,839,83.9,8132,71868
100000,49,89860,1078,107.8,10140,89860
2,50,2,1,0.1,0,2
3,50,3,2,0.2,0,3
100,50,87,47,4.7,13,87
200,50,172,84,8.4,28,172
2000,50,1768,353,35.3,232,1768
10000,50,8918,686,68.6,1082,8918
20000,50,17925,573,57.3,2075,17925
40000,50,35840,600,60.0,4160,35840
60000,50,53895,800,80.0,6105,53895
80000,50,71883,786,78.6,8117,71883
100000,50,89867,735,73.5,10133,89867
2,51,2,1,0.1,0,2
3,51,3,2,0.2,0,3
100,51,90,47,4.7,10,90
200,51,177,85,8.5,23,177
2000,51,1771,290,29.0,229,1771
10000,51,8935,603,60.3,1065,8935
20000,51,17920,577,57.7,2080,17920
40000,51,35871,984,98.4,4129,35871
60000,51,53925,942,94.2,6075,53925
80000,51,71994,722,72.2,8006,71994
100000,51,89886,1000,100.0,10114,89886
2,52,2,1,0.1,0,2
3,52,3,2,0.2,0,3
100,52,88,44,4.4,12,88
200,52,170,88,8.8,30,170
2000,52,1761,494,49.4,239,1761
10000,52,8959,678,67.8,1041,8959
20000,52,17922,697,69.7,2078,17922
40000,52,35956,567,56.7,4044,35956
60000,52,53916,810,81.0,6084,53916
80000,52,72018,983,98.3,7982,72018
100000,52,89635,1021,102.1,10365,89635
2,53,1,1,0.1,1,1
3,53,3,2,0.2,0,3
100,53,86,44,4.4,14,86
200,53,168,87,8.7,32,168
2000,53,1760,381,38.1,240,1760
10000,53,8971,667,66.7,1029,8971
20000,53,17970,769,76.9,2030,17970
40000,53,35910,745,74.5,4090,35910
60000,53,53896,624,62.4,6104,53896
80000,53,71825,740,74.0,8175,71825
100000,53,89799,725,72.5,10201,89799
2,54,1,1,0.1,1,1
3,54,2,2,0.2,1,2
100,54,89,45,4.5,11,89
200,54,170,79,7.9,30,170
2000,54,1771,415,41.5,229,1771
10000,54,8978,650,65.0,1022,8978
20000,54,17848,858,85.8,2152,17848
40000,54,35998,997,99.7,4002,35998
60000,54,53912,826,82.6,6088,53912
80000,54,71983,926,92.6,8017,71983
100000,54,89992,1033,103.3,10008,89992
2,55,2,1,0.1,0,2
3,55,3,2,0.2,0,3
100,55,83,44,4.4,17,83
200,55,175,83,8.3,25,175
2000,55,1750,382,38.2,250,1750
10000,55,8965,591,59.1,1035,8965
20000,55,17984,698,69.8,2016,17984
40000,55,35884,722,72.2,4116,35884
60000,55,53942,626,62.6,6058,53942
80000,55,71856,809,80.9,8144,71856
100000,55,89885,731,73.1,10115,89885
2,56,2,1,0.1,0,2
3,56,2,2,0.2,1,2
100,56,85,47,4.7,15,85
200,56,170,89,8.9,30,170
2000,56,1755,408,40.8,245,1755
10000,56,8872,617,61.7,1128,8872
20000,56,17920,652,65.2,2080,17920
40000,56,35970,721,72.1,4030,35970
60000,56,53847,824,82.4,6153,53847
80000,56,72028,782,78.2,7972,72028
100000,56,89914,686,68.6,10086,89914
2,57,2,1,0.1,0,2
3,57,3,2,0.2,0,3
100,57,83,47,4.7,17,83
200,57,173,88,8.8,27,173
2000,57,1777,450,45.0,223,1777
10000,57,8908,511,51.1,1092,8908
20000,57,17956,573,57.3,2044,17956
40000,57,35943,802,80.2,4057,35943
60000,57,53858,773,77.3,6142,53858
80000,57,71989,892,89.2,8011,71989
100000,57,89992,711,71.1,10008,89992
2,58,2,1,0.1,0,2
3,58,3,2,0.2,0,3
100,58,88,44,4.4,12,88
200,58,177,85,8.5,23,177
2000,58,1757,255,25.5,243,1757
10000,58,9045,498,49.8,955,9045
20000,58,17918,703,70.3,2082,17918
40000,58,35979,544,54.4,4021,35979
60000,58,53889,800,80.0,6111,53889
80000,58,71985,1192,119.2,8015,71985
100000,58,90023,965,96.5,9977,90023
2,59,2,1,0.1,0,2
3,59,2,1,0.1,1,2
100,59,81,46,4.6,19,81
200,59,163,81,8.1,37,163
2000,59,1771,389,38.9,229,1771
10000,59,8936,658,65.8,1064,8936
20000,59,17938,529,52.9,2062,17938
40000,59,35865,787,78.7,4135,35865
60000,59,53940,689,68.9,6060,53940
80000,59,71951,820,82.0,8049,71951
100000,59,89977,994,99.4,10023,89977
2,60,2,1,0.1,0,2
3,60,2,2,0.2,1,2
100,60,83,44,4.4,17,83
200,60,170,94,9.4,30,170
2000,60,1744,327,32.7,256,1744
10000,60,8941,839,83.9,1059,8941
20000,60,17928,546,54.6,2072,17928
40000,60,35909,935,93.5,4091,35909
60000,60,53760,744,74.4,6240,53760
80000,60,72004,935,93.5,7996,72004
100000,60,89959,720,72.0,10041,89959
2,61,1,1,0.1,1,1
3,61,3,2,0.2,0,3
100,61,89,48,4.8,11,89
200,61,175,92,9.2,25,175
2000,61,1763,445,44.5,237,1763
10000,61,8977,537,53.7,1023,8977
20000,61,17966,899,89.9,2034,17966
40000,61,35901,687,68.7,4099,35901
60000,61,53937,739,73.9,6063,53937
80000,61,72044,917,91.7,7956,72044
100000,61,89825,824,82.4,10175,89825
2,62,1,1,0.1,1,1
3,62,3,2,0.2,0,3
100,62,76,33,3.3,24,76
200,62,173,76,7.6,27,173
2000,62,1758,382,38.2,242,1758
10000,62,8931,429,42.9,1069,8931
20000,62,17948,577,57.7,2052,17948
40000,62,35912,637,63.7,4088,35912
60000,62,54004,713,71.3,5996,54004
80000,62,71820,928,92.8,8180,71820
100000,62,89889,849,84.9,10111,89889
2,63,2,1,0.1,0,2
3,63,2,1,0.1,1,2
100,63,87,49,4.9,13,87
200,63,170,88,8.8,30,170
2000,63,1779,350,35.0,221,1779
10000,63,8939,594,59.4,1061,8939
20000,63,17918,647,64.7,2082,17918
40000,63,36001,1108,110.8,3999,36001
60000,63,53895,915,91.5,6105,53895
