Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2000,33,1784,0,0,216,1784
10000,33,9017,0,0,983,9017
20000,33,18018,0,0,1982,18018
40000,33,35983,0,0,4017,35983
60000,33,53900,0,0,6100,53900
80000,33,72000,0,0,8000,72000
100000,33,89914,0,0,10086,89914
2,34,2,0,0,0,2
3,34,2,0,0,1,2
100,34,92,0,0,8,92
200,34,182,0,0,18,182
2000,34,1798,0,0,202,1798
10000,34,8986,0,0,1014,8986
20000,34,17989,0,0,2011,17989
40000,34,35922,0,0,4078,35922
60000,34,53921,0,0,6079,53921
80000,34,71948,0,0,8052,71948
100000,34,90016,0,0,9984,90016
2,35,2,0,0,0,2
3,35,3,0,0,0,3
100,35,88,0,0,12,88
200,35,184,0,0,16,184
2000,35,1820,0,0,180,1820
10000,35,9002,0,0,998,9002
20000,35,17997,0,0,2003,17997
40000,35,36042,0,0,3958,36042
60000,35,54075,0,0,5925,54075
80000,35,72014,0,0,7986,72014
100000,35,89960,0,0,10040,89960
2,36,2,0,0,0,2
3,36,3,0,0,0,3
100,36,91,0,0,9,91
200,36,179,0,0,21,179
2000,36,1813,0,0,187,1813
10000,36,9011,0,0,989,9011
20000,36,18017,0,0,1983,18017
40000,36,35986,0,0,4014,35986
60000,36,54048,0,0,5952,54048
80000,36,71842,0,0,8158,71842
100000,36,90063,0,0,9937,90063
2,37,1,0,0,1,1
3,37,2,0,0,1,2
100,37,92,0,0,8,92
200,37,173,0,0,27,173
2000,37,1780,0,0,220,1780
10000,37,8973,0,0,1027,8973
20000,37,18046,0,0,1954,18046
40000,37,36045,0,0,3955,36045
60000,37,53940,0,0,6060,53940
80000,37,72066,0,0,7934,72066
100000,37,90146,0,0,9854,90146
2,38,2,0,0,0,2
3,38,3,0,0,0,3
100,38,91,0,0,9,91
200,38,171,0,0,29,171
2000,38,1812,0,0,188,1812
10000,38,9049,0,0,951,9049
20000,38,18017,0,0,1983,18017
40000,38,35935,0,0,4065,35935
60000,38,54033,0,0,5967,54033
80000,38,72100,0,0,7900,72100
100000,38,89913,0,0,10087,89913
2,39,2,0,0,0,2
3,39,2,0,0,1,2
100,39,87,0,0,13,87
200,39,175,0,0,25,175
2000,39,1787,0,0,213,1787
10000,39,8966,0,0,1034,8966
20000,39,17993,0,0,2007,17993
40000,39,35976,0,0,4024,35976
60000,39,54101,0,0,5899,54101
80000,39,71858,0,0,8142,71858
100000,39,89976,0,0,10024,89976
2,40,2,0,0,0,2
3,40,2,0,0,1,2
100,40,92,0,0,8,92
200,40,176,0,0,24,176
2000,40,1785,0,0,215,1785
10000,40,9031,0,0,969,9031
20000,40,17991,0,0,2009,17991
40000,40,35994,0,0,4006,35994
60000,40,53926,0,0,6074,53926
80000,40,71963,0,0,8037,71963
100000,40,90018,0,0,9982,90018
2,41,1,0,0,1,1
3,41,3,0,0,0,3
100,41,93,0,0,7,93
200,41,183,0,0,17,183
2000,41,1807,0,0,193,1807
10000,41,9047,0,0,953,9047
20000,41,18006,0,0,1994,18006
40000,41,36023,0,0,3977,36023
60000,41,53996,0,0,6004,53996
80000,41,71855,0,0,8145,71855
100000,41,90033,0,0,9967,90033
2,42,2,0,0,0,2
3,42,3,0,0,0,3
100,42,91,0,0,9,91
200,42,174,0,0,26,174
2000,42,1803,0,0,197,1803
10000,42,8961,0,0,1039,8961
20000,42,18037,0,0,1963,18037
40000,42,36144,0,0,3856,36144
60000,42,53940,0,0,6060,53940
80000,42,71865,0,0,8135,71865
100000,42,89947,0,0,10053,89947
2,43,2,0,0,0,2
3,43,3,0,0,0,3
100,43,93,0,0,7,93
200,43,182,0,0,18,182
2000,43,1811,0,0,189,1811
10000,43,9000,0,0,1000,9000
20000,43,18015,0,0,1985,18015
40000,43,36036,0,0,3964,36036
60000,43,53951,0,0,6049,53951
80000,43,72009,0,0,7991,72009
100000,43,89922,0,0,10078,89922
2,44,1,0,0,1,1
3,44,3,0,0,0,3
100,44,87,0,0,13,87
200,44,183,0,0,17,183
2000,44,1802,0,0,198,1802
10000,44,9040,0,0,960,9040
20000,44,17947,0,0,2053,17947
40000,44,35992,0,0,4008,35992
60000,44,53907,0,0,6093,53907
80000,44,72042,0,0,7958,72042
100000,44,89919,0,0,10081,89919
2,45,2,0,0,0,2
3,45,1,0,0,2,1
100,45,87,0,0,13,87
200,45,186,0,0,14,186
2000,45,1790,0,0,210,1790
10000,45,8992,0,0,1008,8992
20000,45,18020,0,0,1980,18020
40000,45,35942,0,0,4058,35942
60000,45,53994,0,0,6006,53994
80000,45,71997,0,0,8003,71997
100000,45,90079,0,0,9921,90079
2,46,0,0,0,2,0
3,46,3,0,0,0,3
100,46,89,0,0,11,89
200,46,177,0,0,23,177
2000,46,1808,0,0,192,1808
10000,46,8972,0,0,1028,8972
20000,46,17999,0,0,2001,17999
40000,46,35911,0,0,4089,35911
60000,46,53950,0,0,6050,53950
80000,46,71925,0,0,8075,71925
100000,46,89820,0,0,10180,89820
2,47,1,0,0,1,1
3,47,3,0,0,0,3
100,47,90,0,0,10,90
200,47,186,0,0,14,186
2000,47,1803,0,0,197,1803
10000,47,8967,0,0,1033,8967
20000,47,18007,0,0,1993,18007
40000,47,35949,0,0,4051,35949
60000,47,54037,0,0,5963,54037
80000,47,72022,0,0,7978,72022
100000,47,90112,0,0,9888,90112
2,48,2,0,0,0,2
3,48,2,0,0,1,2
100,48,92,0,0,8,92
200,48,180,0,0,20,180
2000,48,1794,0,0,206,1794
10000,48,8989,0,0,1011,8989
20000,48,18053,0,0,1947,18053
40000,48,35986,0,0,4014,35986
60000,48,54063,0,0,5937,54063
80000,48,72025,0,0,7975,72025
100000,48,90069,0,0,9931,90069
2,49,2,0,0,0,2
3,49,3,0,0,0,3
100,49,95,0,0,5,95
200,49,175,0,0,25,175
2000,49,1804,0,0,196,1804
10000,49,8919,0,0,1081,8919
20000,49,18042,0,0,1958,18042
40000,49,36003,0,0,3997,36003
60000,49,54058,0,0,5942,54058
80000,49,72055,0,0,7945,72055
100000,49,89996,0,0,10004,89996
2,50,2,0,0,0,2
3,50,3,0,0,0,3
100,50,91,0,0,9,91
200,50,181,0,0,19,181
2000,50,1791,0,0,209,1791
