Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
40000,28,35794,38984,194.92,4206,35794
60000,28,53737,58984,294.92,6263,53737
80000,28,71672,78984,394.92,8328,71672
100000,28,89552,98984,494.92,10448,89552
2,29,2,1,0.01,0,2
3,29,3,2,0.01,0,3
100,29,82,50,0.25,18,82
200,29,165,100,0.5,35,165
2000,29,1775,1000,5.0,225,1775
10000,29,8918,8690,43.45,1082,8918
20000,29,17902,18690,93.45,2098,17902
40000,29,35717,38690,193.45,4283,35717
60000,29,53558,58690,293.45,6442,53558
80000,29,71465,78690,393.45,8535,71465
100000,29,89260,98690,493.45,10740,89260
2,30,2,1,0.01,0,2
3,30,3,2,0.01,0,3
100,30,91,50,0.25,9,91
200,30,179,100,0.5,21,179
2000,30,1772,1000,5.0,228,1772
10000,30,8954,1000,5.0,1046,8954
20000,30,17980,1000,5.0,2020,17980
40000,30,35947,1000,5.0,4053,35947
60000,30,53946,1000,5.0,6054,53946
80000,30,71978,1000,5.0,8022,71978
100000,30,89943,1000,5.0,10057,89943
2,31,2,1,0.01,0,2
3,31,3,2,0.01,0,3
100,31,92,50,0.25,8,92
200,31,187,100,0.5,13,187
2000,31,1801,1000,5.0,199,1801
10000,31,8984,1007,5.03,1016,8984
20000,31,17946,1007,5.03,2054,17946
40000,31,36032,1007,5.03,3968,36032
60000,31,54020,1007,5.03,5980,54020
80000,31,72045,1007,5.03,7955,72045
100000,31,90032,1007,5.03,9968,90032
2,32,1,1,0.01,1,1
3,32,2,2,0.01,1,2
100,32,89,50,0.25,11,89
200,32,176,100,0.5,24,176
2000,32,1781,1000,5.0,219,1781
10000,32,8899,5783,28.91,1101,8899
20000,32,17931,5783,28.91,2069,17931
40000,32,35932,5783,28.91,4068,35932
60000,32,53934,5783,28.91,6066,53934
80000,32,71937,5783,28.91,8063,71937
100000,32,89966,5783,28.91,10034,89966
2,33,2,1,0.01,0,2
3,33,3,2,0.01,0,3
100,33,84,50,0.25,16,84
