Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,52,1,1,0.01,1,1
3,52,1,2,0.01,2,1
100,52,51,97,0.49,49,51
200,52,100,174,0.87,100,100
2000,52,1010,776,3.88,990,1010
10000,52,4949,3414,17.07,5051,4949
20000,52,9956,5982,29.91,10044,9956
40000,52,19948,3311,16.56,20052,19948
60000,52,30217,7412,37.06,29783,30217
80000,52,39981,18267,91.33,40019,39981
100000,52,50124,34658,173.29,49876,50124
2,53,0,1,0.01,2,0
3,53,0,2,0.01,3,0
100,53,49,19,0.1,51,49
200,53,104,127,0.64,96,104
2000,53,979,1195,5.97,1021,979
10000,53,4978,4055,20.28,5022,4978
20000,53,9901,8635,43.18,10099,9901
40000,53,20171,2983,14.92,19829,20171
60000,53,29727,23188,115.94,30273,29727
80000,53,40089,23862,119.31,39911,40089
100000,53,50024,27990,139.95,49976,50024
2,54,1,1,0.01,1,1
3,54,3,2,0.01,0,3
100,54,48,52,0.26,52,48
200,54,97,114,0.57,103,97
2000,54,969,599,2.99,1031,969
10000,54,4987,6282,31.41,5013,4987
20000,54,9987,7802,39.01,10013,9987
40000,54,19900,36948,184.74,20100,19900
60000,54,29816,17778,88.89,30184,29816
80000,54,39853,55720,278.6,40147,39853
100000,54,49896,18323,91.61,50104,49896
2,55,2,1,0.01,0,2
3,55,2,2,0.01,1,2
100,55,51,61,0.31,49,51
200,55,98,76,0.38,102,98
2000,55,967,815,4.07,1033,967
10000,55,4988,748,3.74,5012,4988
20000,55,9935,1000,5.0,10065,9935
40000,55,20023,10176,50.88,19977,20023
60000,55,30009,1954,9.77,29991,30009
80000,55,39829,22076,110.38,40171,39829
100000,55,49663,18359,91.79,50337,49663
2,56,2,1,0.01,0,2
3,56,2,1,0.01,1,2
100,56,55,83,0.42,45,55
200,56,85,55,0.28,115,85
2000,56,953,1245,6.22,1047,953
10000,56,4992,683,3.41,5008,4992
20000,56,9963,6239,31.19,10037,9963
40000,56,19794,11614,58.07,20206,19794
60000,56,29688,57000,285.0,30312,29688
80000,56,39741,25796,128.98,40259,39741
100000,56,50096,13033,65.17,49904,50096
2,57,1,1,0.01,1,1
3,57,1,1,0.01,2,1
100,57,50,16,0.08,50,50
200,57,108,82,0.41,92,108
2000,57,996,80,0.4,1004,996
10000,57,4980,560,2.8,5020,4980
20000,57,9926,5421,27.1,10074,9926
40000,57,19986,6421,32.1,20014,19986
60000,57,29895,9332,46.66,30105,29895
80000,57,39863,21213,106.06,40137,39863
100000,57,49700,29737,148.68,50300,49700
2,58,0,1,0.01,2,0
3,58,1,2,0.01,2,1
100,58,61,69,0.35,39,61
200,58,100,132,0.66,100,100
2000,58,999,296,1.48,1001,999
10000,58,4955,1423,7.11,5045,4955
20000,58,9900,11761,58.81,10100,9900
40000,58,19897,1893,9.47,20103,19897
60000,58,29951,8791,43.96,30049,29951
80000,58,39689,43155,215.77,40311,39689
100000,58,49759,18722,93.61,50241,49759
2,59,0,1,0.01,2,0
3,59,2,2,0.01,1,2
100,59,48,13,0.07,52,48
200,59,96,160,0.8,104,96
2000,59,1024,666,3.33,976,1024
10000,59,4961,2603,13.02,5039,4961
20000,59,10080,5208,26.04,9920,10080
40000,59,19888,23106,115.53,20112,19888
60000,59,29956,21049,105.24,30044,29956
80000,59,39824,15,0.08,40176,39824
100000,59,50095,264,1.32,49905,50095
2,60,2,1,0.01,0,2
3,60,2,1,0.01,1,2
100,60,44,68,0.34,56,44
200,60,112,120,0.6,88,112
2000,60,1016,1317,6.58,984,1016
10000,60,4935,991,4.95,5065,4935
20000,60,9948,11366,56.83,10052,9948
40000,60,19827,25424,127.12,20173,19827
60000,60,29806,24543,122.71,30194,29806
80000,60,39910,6269,31.34,40090,39910
100000,60,50003,22946,114.73,49997,50003
2,61,2,1,0.01,0,2
3,61,2,2,0.01,1,2
100,61,60,60,0.3,40,60
200,61,107,53,0.27,93,107
2000,61,1026,1510,7.55,974,1026
10000,61,4923,5483,27.41,5077,4923
20000,61,10026,2554,12.77,9974,10026
40000,61,20021,13599,68.0,19979,20021
60000,61,29937,15580,77.9,30063,29937
80000,61,39977,13011,65.06,40023,39977
100000,61,50007,17408,87.04,49993,50007
2,62,1,1,0.01,1,1
3,62,0,2,0.01,3,0
100,62,55,3,0.02,45,55
200,62,102,20,0.1,98,102
2000,62,1022,1222,6.11,978,1022
10000,62,4985,5100,25.5,5015,4985
20000,62,9896,281,1.4,10104,9896
40000,62,19786,1403,7.01,20214,19786
60000,62,29993,11723,58.62,30007,29993
80000,62,39983,25994,129.97,40017,39983
100000,62,49816,26030,130.15,50184,49816
2,63,0,1,0.01,2,0
3,63,2,1,0.01,1,2
100,63,54,43,0.22,46,54
200,63,103,184,0.92,97,103
2000,63,979,1138,5.69,1021,979
10000,63,4931,2092,10.46,5069,4931
20000,63,9999,8483,42.42,10001,9999
40000,63,20107,1558,7.79,19893,20107
60000,63,30014,10960,54.8,29986,30014
80000,63,39690,6431,32.15,40310,39690
100000,63,49560,58807,294.03,50440,49560
2,64,2,1,0.01,0,2
3,64,3,2,0.01,0,3
100,64,53,40,0.2,47,53
200,64,104,4,0.02,96,104
2000,64,989,676,3.38,1011,989
10000,64,5059,6429,32.14,4941,5059
20000,64,9866,6658,33.29,10134,9866
40000,64,19957,1449,7.24,20043,19957
60000,64,29875,3281,16.41,30125,29875
80000,64,39861,40060,200.3,40139,39861
100000,64,50045,6369,31.84,49955,50045
2,65,2,1,0.01,0,2
3,65,1,1,0.01,2,1
100,65,46,4,0.02,54,46
