Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2000,29,3387,2000,200.0,614,3387
10000,29,16977,10000,1000.0,3024,16977
20000,29,34013,20000,2000.0,5988,34013
40000,29,67993,40000,4000.0,12008,67993
60000,29,101840,60000,6000.0,18161,101840
80000,29,135970,80000,8000.0,24031,135970
100000,29,169905,100000,10000.0,30096,169905
2,30,5,3,0.3,0,5
3,30,6,4,0.4,1,6
100,30,172,100,10.0,29,172
200,30,343,200,20.0,58,343
2000,30,3431,2000,200.0,570,3431
10000,30,16971,10000,1000.0,3030,16971
20000,30,33963,20000,2000.0,6038,33963
40000,30,67980,40000,4000.0,12021,67980
60000,30,101919,60000,6000.0,18082,101919
80000,30,136108,80000,8000.0,23893,136108
100000,30,169882,100000,10000.0,30119,169882
2,31,4,2,0.2,1,4
3,31,6,3,0.3,1,6
100,31,171,100,10.0,30,171
200,31,341,200,20.0,60,341
2000,31,3390,2000,200.0,611,3390
10000,31,16994,10000,1000.0,3007,16994
20000,31,33851,20000,2000.0,6150,33851
40000,31,67863,40000,4000.0,12138,67863
60000,31,102008,60000,6000.0,17993,102008
80000,31,136128,80000,8000.0,23873,136128
100000,31,169989,100000,10000.0,30012,169989
2,32,4,2,0.2,1,4
3,32,7,4,0.4,0,7
100,32,172,100,10.0,29,172
200,32,341,200,20.0,60,341
2000,32,3366,2000,200.0,635,3366
10000,32,17043,10000,1000.0,2958,17043
20000,32,34006,20000,2000.0,5995,34006
40000,32,68335,40000,4000.0,11666,68335
60000,32,102070,60000,6000.0,17931,102070
80000,32,135873,80000,8000.0,24128,135873
100000,32,170170,100000,10000.0,29831,170170
2,33,3,2,0.2,2,3
3,33,6,3,0.3,1,6
100,33,165,100,10.0,36,165
200,33,346,200,20.0,55,346
2000,33,3383,2000,200.0,618,3383
10000,33,17044,10000,1000.0,2957,17044
20000,33,33958,20000,2000.0,6043,33958
40000,33,68048,40000,4000.0,11953,68048
60000,33,102070,60000,6000.0,17931,102070
80000,33,135774,80000,8000.0,24227,135774
100000,33,169999,100000,10000.0,30002,169999
2,34,5,3,0.3,0,5
3,34,6,3,0.3,1,6
100,34,173,100,10.0,28,173
200,34,330,200,20.0,71,330
2000,34,3425,2000,200.0,576,3425
10000,34,16971,10000,1000.0,3030,16971
20000,34,33914,20000,2000.0,6087,33914
40000,34,68114,40000,4000.0,11887,68114
60000,34,101991,60000,6000.0,18010,101991
80000,34,135999,80000,8000.0,24002,135999
100000,34,169874,100000,10000.0,30127,169874
2,35,5,3,0.3,0,5
3,35,7,4,0.4,0,7
100,35,168,100,10.0,33,168
200,35,339,200,20.0,62,339
2000,35,3431,2000,200.0,570,3431
10000,35,17130,10000,1000.0,2871,17130
20000,35,33901,20000,2000.0,6100,33901
40000,35,67929,40000,4000.0,12072,67929
60000,35,101682,60000,6000.0,18319,101682
80000,35,135926,80000,8000.0,24075,135926
100000,35,170027,100000,10000.0,29974,170027
2,36,3,3,0.3,2,3
3,36,6,4,0.4,1,6
100,36,174,100,10.0,27,174
200,36,340,200,20.0,61,340
2000,36,3448,2000,200.0,553,3448
10000,36,16998,10000,1000.0,3003,16998
20000,36,34027,20000,2000.0,5974,34027
40000,36,68219,40000,4000.0,11782,68219
60000,36,101827,60000,6000.0,18174,101827
80000,36,135917,80000,8000.0,24084,135917
100000,36,170281,100000,10000.0,29720,170281
2,37,3,2,0.2,2,3
3,37,6,3,0.3,1,6
100,37,174,100,10.0,27,174
200,37,336,200,20.0,65,336
2000,37,3409,2000,200.0,592,3409
10000,37,17006,10000,1000.0,2995,17006
20000,37,33957,20000,2000.0,6044,33957
40000,37,68112,40000,4000.0,11889,68112
60000,37,102072,60000,6000.0,17929,102072
80000,37,136255,80000,8000.0,23746,136255
100000,37,169918,100000,10000.0,30083,169918
2,38,5,3,0.3,0,5
3,38,6,4,0.4,1,6
100,38,169,100,10.0,32,169
200,38,343,200,20.0,58,343
2000,38,3383,2000,200.0,618,3383
10000,38,17071,10000,1000.0,2930,17071
20000,38,33987,20000,2000.0,6014,33987
40000,38,67845,40000,4000.0,12156,67845
60000,38,101905,60000,6000.0,18096,101905
80000,38,136289,80000,8000.0,23712,136289
100000,38,170176,100000,10000.0,29825,170176
2,39,5,3,0.3,0,5
3,39,6,3,0.3,1,6
100,39,173,100,10.0,28,173
200,39,337,200,20.0,64,337
2000,39,3465,2000,200.0,536,3465
10000,39,16977,10000,1000.0,3024,16977
20000,39,33990,20000,2000.0,6011,33990
40000,39,68000,40000,4000.0,12001,68000
60000,39,101859,60000,6000.0,18142,101859
80000,39,136030,80000,8000.0,23971,136030
100000,39,170128,100000,10000.0,29873,170128
2,40,5,3,0.3,0,5
3,40,6,3,0.3,1,6
100,40,179,100,10.0,22,179
200,40,335,200,20.0,66,335
2000,40,3390,2000,200.0,611,3390
10000,40,17031,10000,1000.0,2970,17031
20000,40,34039,20000,2000.0,5962,34039
40000,40,67975,40000,4000.0,12026,67975
60000,40,102015,60000,6000.0,17986,102015
80000,40,135904,80000,8000.0,24097,135904
100000,40,170135,100000,10000.0,29866,170135
2,41,5,3,0.3,0,5
3,41,7,4,0.4,0,7
100,41,171,100,10.0,30,171
200,41,339,200,20.0,62,339
2000,41,3373,2000,200.0,628,3373
10000,41,16981,10000,1000.0,3020,16981
20000,41,33974,20000,2000.0,6027,33974
40000,41,68042,40000,4000.0,11959,68042
60000,41,101894,60000,6000.0,18107,101894
80000,41,135946,80000,8000.0,24055,135946
100000,41,169885,100000,10000.0,30116,169885
2,42,4,2,0.2,1,4
3,42,6,4,0.4,1,6
100,42,170,100,10.0,31,170
200,42,346,200,20.0,55,346
2000,42,3357,2000,200.0,644,3357
10000,42,16961,10000,1000.0,3040,16961
