Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
200,41,180,93,0.47,20,180
2000,41,1797,947,4.73,203,1797
10000,41,8958,5461,27.3,1042,8958
20000,41,17870,4543,22.71,2130,17870
40000,41,35934,11065,55.33,4066,35934
60000,41,53888,30452,152.26,6112,53888
80000,41,71740,34948,174.74,8260,71740
100000,41,89960,22003,110.01,10040,89960
2,42,2,1,0.01,0,2
3,42,2,1,0.01,1,2
100,42,94,49,0.25,6,94
200,42,178,98,0.49,22,178
2000,42,1799,925,4.62,201,1799
10000,42,8943,3271,16.36,1057,8943
20000,42,17900,6988,34.94,2100,17900
40000,42,35902,13826,69.13,4098,35902
60000,42,53742,15340,76.7,6258,53742
80000,42,71792,36550,182.75,8208,71792
100000,42,89840,25389,126.94,10160,89840
2,43,2,1,0.01,0,2
3,43,3,1,0.01,0,3
100,43,88,52,0.26,12,88
200,43,181,102,0.51,19,181
2000,43,1820,939,4.69,180,1820
10000,43,9004,5140,25.7,996,9004
20000,43,17955,9247,46.24,2045,17955
40000,43,35935,9249,46.25,4065,35935
60000,43,53891,21405,107.02,6109,53891
80000,43,71977,22305,111.52,8023,71977
100000,43,89887,26301,131.5,10113,89887
2,44,2,1,0.01,0,2
3,44,2,1,0.01,1,2
100,44,90,49,0.25,10,90
200,44,177,98,0.49,23,177
2000,44,1809,891,4.45,191,1809
10000,44,9014,2515,12.58,986,9014
20000,44,18017,12066,60.33,1983,18017
40000,44,35885,17296,86.48,4115,35885
60000,44,54012,9914,49.57,5988,54012
80000,44,71761,26907,134.53,8239,71761
100000,44,89835,18444,92.22,10165,89835
2,45,2,1,0.01,0,2
3,45,3,1,0.01,0,3
100,45,94,52,0.26,6,94
200,45,181,98,0.49,19,181
2000,45,1776,820,4.1,224,1776
10000,45,8968,4112,20.56,1032,8968
20000,45,17925,6518,32.59,2075,17925
40000,45,35961,12222,61.11,4039,35961
60000,45,53950,13931,69.66,6050,53950
80000,45,71909,28112,140.56,8091,71909
100000,45,89821,19535,97.67,10179,89821
2,46,2,1,0.01,0,2
3,46,3,1,0.01,0,3
100,46,90,51,0.26,10,90
200,46,180,104,0.52,20,180
2000,46,1811,782,3.91,189,1811
10000,46,8948,3527,17.64,1052,8948
20000,46,18017,9763,48.82,1983,18017
40000,46,35903,14652,73.26,4097,35903
60000,46,54024,11585,57.93,5976,54024
80000,46,71921,32874,164.37,8079,71921
100000,46,89749,25306,126.53,10251,89749
2,47,2,1,0.01,0,2
3,47,3,1,0.01,0,3
100,47,92,50,0.25,8,92
200,47,187,101,0.51,13,187
2000,47,1794,855,4.27,206,1794
10000,47,8943,4314,21.57,1057,8943
20000,47,17938,8733,43.67,2062,17938
40000,47,35883,21202,106.01,4117,35883
60000,47,53921,17519,87.59,6079,53921
80000,47,71783,29049,145.24,8217,71783
100000,47,89918,29246,146.23,10082,89918
2,48,2,1,0.01,0,2
3,48,2,1,0.01,1,2
100,48,83,50,0.25,17,83
200,48,174,112,0.56,26,174
2000,48,1773,955,4.77,227,1773
10000,48,8941,5159,25.79,1059,8941
20000,48,17992,9376,46.88,2008,17992
40000,48,35968,16106,80.53,4032,35968
60000,48,53948,18271,91.35,6052,53948
80000,48,71873,17724,88.62,8127,71873
100000,48,89808,32126,160.63,10192,89808
2,49,2,1,0.01,0,2
3,49,3,1,0.01,0,3
100,49,88,53,0.27,12,88
200,49,179,106,0.53,21,179
2000,49,1791,1253,6.26,209,1791
10000,49,8975,3749,18.75,1025,8975
20000,49,18015,8249,41.25,1985,18015
40000,49,35949,11189,55.95,4051,35949
60000,49,53931,13487,67.44,6069,53931
80000,49,71772,29125,145.62,8228,71772
100000,49,89624,34829,174.14,10376,89624
2,50,2,1,0.01,0,2
3,50,3,1,0.01,0,3
100,50,84,55,0.28,16,84
200,50,179,94,0.47,21,179
2000,50,1777,900,4.5,223,1777
10000,50,8990,5165,25.82,1010,8990
20000,50,17995,6512,32.56,2005,17995
40000,50,35980,13611,68.06,4020,35980
60000,50,54053,23469,117.34,5947,54053
80000,50,71972,21912,109.56,8028,71972
100000,50,89868,35432,177.16,10132,89868
2,51,2,1,0.01,0,2
3,51,3,1,0.01,0,3
100,51,91,49,0.25,9,91
200,51,184,106,0.53,16,184
2000,51,1787,976,4.88,213,1787
10000,51,8938,6532,32.66,1062,8938
20000,51,17898,9783,48.92,2102,17898
40000,51,35941,14728,73.64,4059,35941
60000,51,53928,10783,53.92,6072,53928
80000,51,71979,23576,117.88,8021,71979
100000,51,89799,24765,123.82,10201,89799
2,52,2,1,0.01,0,2
3,52,3,1,0.01,0,3
100,52,90,51,0.26,10,90
200,52,178,105,0.53,22,178
2000,52,1800,1052,5.26,200,1800
10000,52,9041,2941,14.71,959,9041
20000,52,17978,8336,41.68,2022,17978
40000,52,35875,12949,64.75,4125,35875
60000,52,53910,12819,64.1,6090,53910
80000,52,71863,16190,80.95,8137,71863
100000,52,89897,23428,117.14,10103,89897
2,53,2,1,0.01,0,2
3,53,3,1,0.01,0,3
100,53,89,53,0.27,11,89
200,53,184,103,0.52,16,184
2000,53,1785,772,3.86,215,1785
10000,53,8963,4842,24.21,1037,8963
20000,53,17922,7124,35.62,2078,17922
40000,53,35996,8021,40.11,4004,35996
60000,53,53850,16676,83.38,6150,53850
80000,53,71995,10274,51.37,8005,71995
100000,53,89857,21458,107.29,10143,89857
2,54,2,1,0.01,0,2
3,54,2,1,0.01,1,2
