Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
100000,33,80286,100000,10000.0,19714,80286
2,34,1,2,0.2,1,1
3,34,2,3,0.3,1,2
100,34,75,100,10.0,25,75
200,34,168,200,20.0,32,168
2000,34,1619,2000,200.0,381,1619
10000,34,8026,10000,1000.0,1974,8026
20000,34,15975,20000,2000.0,4025,15975
40000,34,32021,40000,4000.0,7979,32021
60000,34,47889,60000,6000.0,12111,47889
80000,34,64062,80000,8000.0,15938,64062
100000,34,79834,100000,10000.0,20166,79834
2,35,2,2,0.2,0,2
3,35,2,3,0.3,1,2
100,35,72,100,10.0,28,72
200,35,157,200,20.0,43,157
2000,35,1615,2000,200.0,385,1615
10000,35,8009,10000,1000.0,1991,8009
20000,35,16088,20000,2000.0,3912,16088
40000,35,32071,40000,4000.0,7929,32071
60000,35,47983,60000,6000.0,12017,47983
80000,35,64036,80000,8000.0,15964,64036
100000,35,80000,100000,10000.0,20000,80000
2,36,2,2,0.2,0,2
3,36,3,3,0.3,0,3
100,36,78,100,10.0,22,78
200,36,152,200,20.0,48,152
2000,36,1594,2000,200.0,406,1594
10000,36,7949,10000,1000.0,2051,7949
20000,36,16050,20000,2000.0,3950,16050
40000,36,32005,40000,4000.0,7995,32005
60000,36,48035,60000,6000.0,11965,48035
80000,36,64029,80000,8000.0,15971,64029
100000,36,80020,100000,10000.0,19980,80020
2,37,1,2,0.2,1,1
3,37,2,3,0.3,1,2
100,37,86,100,10.0,14,86
200,37,159,200,20.0,41,159
2000,37,1593,2000,200.0,407,1593
10000,37,7974,10000,1000.0,2026,7974
20000,37,16017,20000,2000.0,3983,16017
40000,37,31943,40000,4000.0,8057,31943
60000,37,47983,60000,6000.0,12017,47983
80000,37,64229,80000,8000.0,15771,64229
100000,37,80108,100000,10000.0,19892,80108
2,38,2,2,0.2,0,2
3,38,3,3,0.3,0,3
100,38,80,100,10.0,20,80
200,38,160,200,20.0,40,160
2000,38,1607,2000,200.0,393,1607
10000,38,7956,10000,1000.0,2044,7956
20000,38,16126,20000,2000.0,3874,16126
40000,38,31982,40000,4000.0,8018,31982
60000,38,48047,60000,6000.0,11953,48047
80000,38,64053,80000,8000.0,15947,64053
100000,38,80121,100000,10000.0,19879,80121
2,39,1,2,0.2,1,1
3,39,3,3,0.3,0,3
100,39,72,100,10.0,28,72
200,39,164,200,20.0,36,164
2000,39,1619,2000,200.0,381,1619
10000,39,7961,10000,1000.0,2039,7961
20000,39,15974,20000,2000.0,4026,15974
40000,39,31981,40000,4000.0,8019,31981
60000,39,47973,60000,6000.0,12027,47973
80000,39,64080,80000,8000.0,15920,64080
100000,39,79956,100000,10000.0,20044,79956
2,40,2,2,0.2,0,2
3,40,3,3,0.3,0,3
100,40,78,100,10.0,22,78
200,40,164,200,20.0,36,164
2000,40,1565,2000,200.0,435,1565
10000,40,7984,10000,1000.0,2016,7984
20000,40,15954,20000,2000.0,4046,15954
40000,40,32020,40000,4000.0,7980,32020
60000,40,47909,60000,6000.0,12091,47909
80000,40,63903,80000,8000.0,16097,63903
100000,40,80109,100000,10000.0,19891,80109
2,41,2,2,0.2,0,2
3,41,3,3,0.3,0,3
100,41,75,100,10.0,25,75
200,41,165,200,20.0,35,165
2000,41,1590,2000,200.0,410,1590
10000,41,7925,10000,1000.0,2075,7925
20000,41,16011,20000,2000.0,3989,16011
40000,41,31868,40000,4000.0,8132,31868
60000,41,47920,60000,6000.0,12080,47920
80000,41,63926,80000,8000.0,16074,63926
100000,41,79815,100000,10000.0,20185,79815
2,42,2,2,0.2,0,2
3,42,2,3,0.3,1,2
100,42,81,100,10.0,19,81
200,42,156,200,20.0,44,156
2000,42,1560,2000,200.0,440,1560
10000,42,8027,10000,1000.0,1973,8027
20000,42,15956,20000,2000.0,4044,15956
40000,42,32111,40000,4000.0,7889,32111
60000,42,47989,60000,6000.0,12011,47989
80000,42,63972,80000,8000.0,16028,63972
100000,42,80059,100000,10000.0,19941,80059
2,43,2,2,0.2,0,2
3,43,2,3,0.3,1,2
100,43,78,100,10.0,22,78
200,43,167,200,20.0,33,167
2000,43,1602,2000,200.0,398,1602
10000,43,7952,10000,1000.0,2048,7952
20000,43,15967,20000,2000.0,4033,15967
40000,43,32125,40000,4000.0,7875,32125
60000,43,48079,60000,6000.0,11921,48079
80000,43,63732,80000,8000.0,16268,63732
100000,43,80066,100000,10000.0,19934,80066
2,44,2,2,0.2,0,2
3,44,2,3,0.3,1,2
100,44,77,100,10.0,23,77
200,44,163,200,20.0,37,163
2000,44,1636,2000,200.0,364,1636
10000,44,8070,10000,1000.0,1930,8070
20000,44,16012,20000,2000.0,3988,16012
40000,44,31987,40000,4000.0,8013,31987
60000,44,48165,60000,6000.0,11835,48165
80000,44,63881,80000,8000.0,16119,63881
100000,44,80171,100000,10000.0,19829,80171
2,45,1,2,0.2,1,1
3,45,2,3,0.3,1,2
100,45,77,100,10.0,23,77
200,45,165,200,20.0,35,165
2000,45,1606,2000,200.0,394,1606
10000,45,7973,10000,1000.0,2027,7973
20000,45,16029,20000,2000.0,3971,16029
40000,45,31974,40000,4000.0,8026,31974
60000,45,48142,60000,6000.0,11858,48142
80000,45,63911,80000,8000.0,16089,63911
100000,45,80025,100000,10000.0,19975,80025
2,46,1,2,0.2,1,1
3,46,3,3,0.3,0,3
100,46,80,100,10.0,20,80
200,46,151,200,20.0,49,151
2000,46,1630,2000,200.0,370,1630
10000,46,7976,10000,1000.0,2024,7976
20000,46,15974,20000,2000.0,4026,15974
40000,46,32048,40000,4000.0,7952,32048
60000,46,48024,60000,6000.0,11976,48024
80000,46,64046,80000,8000.0,15954,64046
100000,46,79997,100000,10000.0,20003,79997
2,47,2,2,0.2,0,2
3,47,3,3,0.3,0,3
100,47,82,100,10.0,18,82
200,47,161,200,20.0,39,161
2000,47,1589,2000,200.0,411,1589
10000,47,7945,10000,1000.0,2055,7945
20000,47,15988,20000,2000.0,4012,15988
40000,47,31997,40000,4000.0,8003,31997
60000,47,48039,60000,6000.0,11961,48039
80000,47,64270,80000,8000.0,15730,64270
100000,47,79982,100000,10000.0,20018,79982
2,48,2,2,0.2,0,2
3,48,2,3,0.3,1,2
100,48,76,100,10.0,24,76
200,48,163,200,20.0,37,163
2000,48,1592,2000,200.0,408,1592
10000,48,8047,10000,1000.0,1953,8047
20000,48,16067,20000,2000.0,3933,16067
40000,48,31970,40000,4000.0,8030,31970
60000,48,47921,60000,6000.0,12079,47921
80000,48,64114,80000,8000.0,15886,64114
100000,48,80015,100000,10000.0,19985,80015
2,49,2,2,0.2,0,2
3,49,2,3,0.3,1,2
100,49,82,100,10.0,18,82
200,49,171,200,20.0,29,171
2000,49,1627,2000,200.0,373,1627
10000,49,8028,10000,1000.0,1972,8028
20000,49,16046,20000,2000.0,3954,16046
40000,49,32087,40000,4000.0,7913,32087
60000,49,47951,60000,6000.0,12049,47951
80000,49,63980,80000,8000.0,16020,63980
100000,49,79754,100000,10000.0,20246,79754
2,50,1,2,0.2,1,1
3,50,3,3,0.3,0,3
100,50,81,100,10.0,19,81
200,50,162,200,20.0,38,162
2000,50,1596,2000,200.0,404,1596
10000,50,8029,10000,1000.0,1971,8029
20000,50,15913,20000,2000.0,4087,15913
40000,50,31910,40000,4000.0,8090,31910
60000,50,47786,60000,6000.0,12214,47786
80000,50,64091,80000,8000.0,15909,64091
100000,50,80052,100000,10000.0,19948,80052
2,51,0,2,0.2,2,0
3,51,3,3,0.3,0,3
100,51,75,100,10.0,25,75
200,51,152,200,20.0,48,152
2000,51,1611,2000,200.0,389,1611
10000,51,7999,10000,1000.0,2001,7999
20000,51,16012,20000,2000.0,3988,16012
40000,51,31914,40000,4000.0,8086,31914
60000,51,47945,60000,6000.0,12055,47945
80000,51,63967,80000,8000.0,16033,63967
100000,51,80092,100000,10000.0,19908,80092
2,52,1,2,0.2,1,1
3,52,2,3,0.3,1,2
100,52,86,100,10.0,14,86
200,52,160,200,20.0,40,160
2000,52,1596,2000,200.0,404,1596
10000,52,8008,10000,1000.0,1992,8008
20000,52,16039,20000,2000.0,3961,16039
40000,52,32036,40000,4000.0,7964,32036
60000,52,48062,60000,6000.0,11938,48062
80000,52,64137,80000,8000.0,15863,64137
100000,52,79989,100000,10000.0,20011,79989
2,53,2,2,0.2,0,2
3,53,1,3,0.3,2,1
100,53,80,100,10.0,20,80
200,53,161,200,20.0,39,161
2000,53,1589,2000,200.0,411,1589
10000,53,8029,10000,1000.0,1971,8029
20000,53,15944,20000,2000.0,4056,15944
40000,53,32008,40000,4000.0,7992,32008
60000,53,47918,60000,6000.0,12082,47918
