Timestep,Iteration,Total Reward,Suboptimal Arms,Regret,Zeros Count,Ones Count
3,59,2,1,0.1,1,2
100,59,91,47,4.7,9,91
200,59,171,72,7.2,29,171
2000,59,1796,321,32.1,204,1796
10000,59,8951,986,98.6,1049,8951
20000,59,17866,872,87.2,2134,17866
40000,59,35824,1576,157.6,4176,35824
60000,59,53866,1182,118.2,6134,53866
80000,59,71785,1645,164.5,8215,71785
100000,59,89706,1709,170.9,10294,89706
2,60,2,1,0.1,0,2
3,60,3,1,0.1,0,3
100,60,86,26,2.6,14,86
200,60,180,55,5.5,20,180
2000,60,1774,247,24.7,226,1774
10000,60,8882,1205,120.5,1118,8882
20000,60,17877,909,90.9,2123,17877
40000,60,35824,1242,124.2,4176,35824
60000,60,53940,1607,160.7,6060,53940
80000,60,71941,1816,181.6,8059,71941
100000,60,89809,1882,188.2,10191,89809
2,61,2,1,0.1,0,2
3,61,3,1,0.1,0,3
100,61,86,50,5.0,14,86
200,61,171,59,5.9,29,171
2000,61,1759,294,29.4,241,1759
10000,61,8811,1039,103.9,1189,8811
20000,61,17904,1334,133.4,2096,17904
40000,61,35858,1514,151.4,4142,35858
60000,61,53827,1424,142.4,6173,53827
80000,61,72030,1442,144.2,7970,72030
100000,61,89773,1831,183.1,10227,89773
2,62,2,1,0.1,0,2
3,62,3,1,0.1,0,3
100,62,87,31,3.1,13,87
200,62,173,71,7.1,27,173
2000,62,1762,462,46.2,238,1762
10000,62,8850,867,86.7,1150,8850
20000,62,17874,754,75.4,2126,17874
40000,62,35952,1112,111.2,4048,35952
60000,62,53966,1728,172.8,6034,53966
80000,62,71845,1481,148.1,8155,71845
100000,62,89894,1908,190.8,10106,89894
2,63,2,1,0.1,0,2
3,63,3,1,0.1,0,3
100,63,88,39,3.9,12,88
200,63,176,82,8.2,24,176
2000,63,1748,453,45.3,252,1748
10000,63,8857,1070,107.0,1143,8857
20000,63,17960,844,84.4,2040,17960
40000,63,35865,1061,106.1,4135,35865
60000,63,53818,1853,185.3,6182,53818
80000,63,71856,1715,171.5,8144,71856
100000,63,89808,1616,161.6,10192,89808
2,64,2,1,0.1,0,2
3,64,3,1,0.1,0,3
100,64,88,43,4.3,12,88
200,64,172,64,6.4,28,172
2000,64,1761,363,36.3,239,1761
10000,64,8962,668,66.8,1038,8962
20000,64,17846,1157,115.7,2154,17846
40000,64,35811,1824,182.4,4189,35811
60000,64,53935,1338,133.8,6065,53935
80000,64,71902,1426,142.6,8098,71902
100000,64,89693,2247,224.7,10307,89693
2,65,1,1,0.1,1,1
3,65,3,1,0.1,0,3
100,65,89,34,3.4,11,89
200,65,178,102,10.2,22,178
2000,65,1761,333,33.3,239,1761
10000,65,8904,799,79.9,1096,8904
20000,65,17855,1207,120.7,2145,17855
40000,65,35827,1431,143.1,4173,35827
60000,65,53846,1600,160.0,6154,53846
80000,65,71899,1194,119.4,8101,71899
100000,65,89622,1537,153.7,10378,89622
2,66,2,1,0.1,0,2
3,66,1,1,0.1,2,1
100,66,81,27,2.7,19,81
200,66,182,44,4.4,18,182
2000,66,1784,407,40.7,216,1784
10000,66,8941,567,56.7,1059,8941
20000,66,17845,1009,100.9,2155,17845
40000,66,35812,1427,142.7,4188,35812
60000,66,53842,1667,166.7,6158,53842
80000,66,71991,1402,140.2,8009,71991
100000,66,89809,1570,157.0,10191,89809
2,67,2,1,0.1,0,2
3,67,3,1,0.1,0,3
100,67,90,30,3.0,10,90
200,67,183,94,9.4,17,183
2000,67,1771,495,49.5,229,1771
10000,67,8894,810,81.0,1106,8894
