Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count,pulls complete
200,65,164,199,19.9,36,164,200.0
2000,65,1634,1999,199.9,366,1634,2000.0
2,66,2,0,0.0,0,2,2.0
3,66,2,0,0.0,1,2,3.0
100,66,88,50,5.0,12,88,100.0
200,66,156,198,19.8,44,156,200.0
2000,66,1798,1,0.1,202,1798,2000.0
2,67,2,0,0.0,0,2,2.0
3,67,2,0,0.0,1,2,3.0
100,67,84,50,5.0,16,84,100.0
200,67,172,100,10.0,28,172,200.0
2000,67,1589,1999,199.9,411,1589,2000.0
2,68,2,0,0.0,0,2,2.0
3,68,3,0,0.0,0,3,3.0
100,68,80,50,5.0,20,80,100.0
200,68,182,1,0.1,18,182,200.0
2000,68,1683,1000,100.0,317,1683,2000.0
2,69,2,0,0.0,0,2,2.0
3,69,3,0,0.0,0,3,3.0
100,69,90,1,0.1,10,90,100.0
200,69,177,1,0.1,23,177,200.0
2000,69,1798,4,0.4,202,1798,2000.0
2,70,2,0,0.0,0,2,2.0
3,70,3,0,0.0,0,3,3.0
100,70,87,2,0.2,13,87,100.0
200,70,186,1,0.1,14,186,200.0
2000,70,1794,1,0.1,206,1794,2000.0
2,71,2,0,0.0,0,2,2.0
3,71,2,0,0.0,1,2,3.0
100,71,86,2,0.2,14,86,100.0
200,71,156,198,19.8,44,156,200.0
2000,71,1683,1000,100.0,317,1683,2000.0
2,72,2,0,0.0,0,2,2.0
3,72,2,0,0.0,1,2,3.0
100,72,81,98,9.8,19,81,100.0
200,72,164,198,19.8,36,164,200.0
2000,72,1811,4,0.4,189,1811,2000.0
2,73,1,0,0.0,1,1,2.0
3,73,3,0,0.0,0,3,3.0
100,73,86,50,5.0,14,86,100.0
200,73,176,100,10.0,24,176,200.0
2000,73,1809,2,0.2,191,1809,2000.0
2,74,1,0,0.0,1,1,2.0
3,74,2,0,0.0,1,2,3.0
100,74,91,1,0.1,9,91,100.0
200,74,164,100,10.0,36,164,200.0
2000,74,1701,1000,100.0,299,1701,2000.0
2,75,2,0,0.0,0,2,2.0
3,75,3,0,0.0,0,3,3.0
100,75,88,50,5.0,12,88,100.0
200,75,182,2,0.2,18,182,200.0
2000,75,1693,1000,100.0,307,1693,2000.0
2,76,1,0,0.0,1,1,2.0
3,76,3,0,0.0,0,3,3.0
100,76,88,2,0.2,12,88,100.0
200,76,149,199,19.9,51,149,200.0
2000,76,1618,1997,199.7,382,1618,2000.0
2,77,2,0,0.0,0,2,2.0
3,77,3,0,0.0,0,3,3.0
100,77,89,50,5.0,11,89,100.0
200,77,164,100,10.0,36,164,200.0
2000,77,1791,4,0.4,209,1791,2000.0
2,78,2,0,0.0,0,2,2.0
3,78,3,0,0.0,0,3,3.0
100,78,82,50,5.0,18,82,100.0
200,78,187,1,0.1,13,187,200.0
2000,78,1814,1,0.1,186,1814,2000.0
2,79,2,0,0.0,0,2,2.0
3,79,3,0,0.0,0,3,3.0
100,79,87,50,5.0,13,87,100.0
200,79,160,198,19.8,40,160,200.0
2000,79,1791,4,0.4,209,1791,2000.0
2,80,0,0,0.0,2,0,2.0
3,80,3,0,0.0,0,3,3.0
100,80,85,50,5.0,15,85,100.0
200,80,152,199,19.9,48,152,200.0
2000,80,1706,1000,100.0,294,1706,2000.0
2,81,2,0,0.0,0,2,2.0
3,81,3,0,0.0,0,3,3.0
100,81,87,98,9.8,13,87,100.0
200,81,175,1,0.1,25,175,200.0
2000,81,1797,1,0.1,203,1797,2000.0
2,82,2,0,0.0,0,2,2.0
3,82,3,0,0.0,0,3,3.0
100,82,82,50,5.0,18,82,100.0
200,82,168,100,10.0,32,168,200.0
2000,82,1689,1000,100.0,311,1689,2000.0
2,83,2,0,0.0,0,2,2.0
3,83,2,0,0.0,1,2,3.0
100,83,89,1,0.1,11,89,100.0
200,83,160,197,19.7,40,160,200.0
2000,83,1719,1000,100.0,281,1719,2000.0
2,84,2,0,0.0,0,2,2.0
3,84,2,0,0.0,1,2,3.0
100,84,83,50,5.0,17,83,100.0
200,84,161,100,10.0,39,161,200.0
2000,84,1690,1000,100.0,310,1690,2000.0
2,85,2,0,0.0,0,2,2.0
3,85,2,0,0.0,1,2,3.0
100,85,93,1,0.1,7,93,100.0
200,85,184,2,0.2,16,184,200.0
2000,85,1729,1000,100.0,271,1729,2000.0
2,86,2,0,0.0,0,2,2.0
3,86,2,0,0.0,1,2,3.0
100,86,84,50,5.0,16,84,100.0
200,86,167,100,10.0,33,167,200.0
2000,86,1672,1000,100.0,328,1672,2000.0
2,87,2,0,0.0,0,2,2.0
3,87,3,0,0.0,0,3,3.0
100,87,90,50,5.0,10,90,100.0
200,87,165,100,10.0,35,165,200.0
2000,87,1808,1,0.1,192,1808,2000.0
2,88,2,0,0.0,0,2,2.0
3,88,3,0,0.0,0,3,3.0
100,88,92,50,5.0,8,92,100.0
200,88,153,199,19.9,47,153,200.0
2000,88,1600,1997,199.7,400,1600,2000.0
2,89,2,0,0.0,0,2,2.0
3,89,2,0,0.0,1,2,3.0
100,89,83,50,5.0,17,83,100.0
200,89,175,2,0.2,25,175,200.0
2000,89,1684,1000,100.0,316,1684,2000.0
2,90,2,0,0.0,0,2,2.0
3,90,3,0,0.0,0,3,3.0
100,90,87,98,9.8,13,87,100.0
200,90,180,1,0.1,20,180,200.0
2000,90,1838,1,0.1,162,1838,2000.0
2,91,2,0,0.0,0,2,2.0
3,91,3,0,0.0,0,3,3.0
100,91,78,50,5.0,22,78,100.0
200,91,181,2,0.2,19,181,200.0
2000,91,1698,1000,100.0,302,1698,2000.0
2,92,2,0,0.0,0,2,2.0
3,92,3,0,0.0,0,3,3.0
100,92,86,99,9.9,14,86,100.0
200,92,164,199,19.9,36,164,200.0
2000,92,1626,1997,199.7,374,1626,2000.0
2,93,2,0,0.0,0,2,2.0
3,93,2,0,0.0,1,2,3.0
100,93,87,1,0.1,13,87,100.0
200,93,173,2,0.2,27,173,200.0
2000,93,1680,1000,100.0,320,1680,2000.0
2,94,2,0,0.0,0,2,2.0
3,94,3,0,0.0,0,3,3.0
100,94,83,50,5.0,17,83,100.0
200,94,175,1,0.1,25,175,200.0
2000,94,1571,1996,199.6,429,1571,2000.0
2,95,2,0,0.0,0,2,2.0
3,95,2,0,0.0,1,2,3.0
100,95,94,2,0.2,6,94,100.0
200,95,176,100,10.0,24,176,200.0
2000,95,1809,4,0.4,191,1809,2000.0
2,96,1,0,0.0,1,1,2.0
3,96,2,0,0.0,1,2,3.0
100,96,86,2,0.2,14,86,100.0
200,96,164,199,19.9,36,164,200.0
2000,96,1776,3,0.3,224,1776,2000.0
2,97,2,0,0.0,0,2,2.0
3,97,3,0,0.0,0,3,3.0
100,97,77,99,9.9,23,77,100.0
200,97,181,1,0.1,19,181,200.0
2000,97,1616,1999,199.9,384,1616,2000.0
2,98,1,0,0.0,1,1,2.0
3,98,3,0,0.0,0,3,3.0
100,98,88,50,5.0,12,88,100.0
200,98,172,100,10.0,28,172,200.0
2000,98,1591,1999,199.9,409,1591,2000.0
2,99,2,0,0.0,0,2,2.0
3,99,2,0,0.0,1,2,3.0
100,99,83,50,5.0,17,83,100.0
200,99,171,100,10.0,29,171,200.0
2000,99,1598,1998,199.8,402,1598,2000.0
2,100,2,0,0.0,0,2,2.0
3,100,3,0,0.0,0,3,3.0
100,100,86,1,0.1,14,86,100.0
200,100,175,1,0.1,25,175,200.0
2000,100,1784,2,0.2,216,1784,2000.0
